author,comment,published_at
@DarshilParmar,"EDIT:
Elon Musk ruined the API part, you can use some other APIs

Here's one of the subscriber built the same project using other APIs - https://chenmeiqiao.notion.site/How-I-Reach-Out-to-YouTubers-I-Like-As-A-Data-Engineer-c37bdddefde54c3789229ffa5a789432

or you can use a static dataset from Kaggle and then use Airflow to process it
https://www.kaggle.com/datasets/mmmarchetti/tweets-dataset

FAQ:
1. Twitter removed free access: It still has free access but with limits of requests you can make - https://developer.twitter.com/en/docs/twitter-api/getting-started/about-twitter-api

2. You need to request for V2 access: You will get an error but just by reading the doc you should be able to access Elevated Access


Worked very hard for this project🤞
Don’t forget to hit the like button and if you want to support my work you can join channel membership, it's only 59rs per month so that I can keep these content for free",2022-09-20T12:06:19Z
@adarsharora6097,"getting this error -
PermissionError: No AWSAccessKey was presented.


Anyone facing same?",2024-04-28T17:30:22Z
@ammadkhan4687,beautiful,2024-04-23T20:25:19Z
@anshujaiswal5622,"Really like your approach towards Learning Data Engineering concepts by doing project stuff. A good short smart project to learn basic working of a Data-pipeline using Python, AWS services and Beginner usage of Airflow. Thanks Darshil :)",2024-04-23T08:03:11Z
@yashraythatha,"unable to use the static dataset , please help",2024-04-17T02:38:45Z
@mayurb6088,Great work!,2024-04-16T12:13:41Z
@user-pn7oc5bv2s,"buen video, saludos",2024-04-13T22:35:52Z
@swarajbande1506,"Hi Darshil, I have question, We imported data in S3 bucket directly from twitter API by converting it into CSV? correct me if I am wrong",2024-04-09T13:49:43Z
@danielaraya9491,I think the free API version does not allow to retrieve tweets anymore,2024-04-04T04:25:40Z
@rajranjanverma3518,"Hi Darshil, great content by the way, really helpful. I am trying to connect to airflow web server using EC2 instance using IP4 public URL but i am unable to do so. I have followed every steps from the video, opened all traffic , my pc public firewall is also in place  and i am using EC2 medium. Please suggest",2024-04-03T19:54:21Z
@pallavikm9277,Can you mention difference between mwaa and airflow you used in this tutorial,2024-04-02T09:52:03Z
@afridinaikwadi1326,"Import ""airflow.operators.python_operator"" could not be resolvedPylancereportMissingImports please help me this unable to install",2024-03-31T10:33:03Z
@sarveshmayekar5761,Definitely it is a good video in terms of knowledge but i am facing error 403 forbidden error which is related to some security issue if possible please help me to solve this error,2024-03-31T06:56:29Z
@swapneil5549,Twitter stopped free access to their APIs :|,2024-03-22T07:11:22Z
@fbravoc9748,I am thinking in buying your python data engineering course . Will I learn something like this in the course?,2024-03-09T11:50:38Z
@fbravoc9748,"Nice video!! What if you have more than one DAG, when you change the airflow.cfg how do you include the other DAGS?? Another question..do you teach about airflow in your paid courses?",2024-03-08T16:32:42Z
@TheAINoobxoxo,"Hi @DarshilParmar #Darshil Parmar

I am facing a issue regarding connecting to api using tweepy its giving me error of limited access to X api",2024-03-06T05:02:40Z
@therajlalrs1460,Why you did manual trigger?,2024-02-21T17:30:49Z
@jdabs595,"Thanks Dasrhil for the very educational video!
I am running into a problem where the password when I execute 'airflow standalone' is not appearing.
Did anyone face this challenge?",2024-02-01T15:03:06Z
@sohaibawan7625,"🤐I am facing problems in:
installing airflow on windows
Specially while initializing database
....???",2024-01-20T17:15:02Z
